elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm,left_nn_command_nm,right_nn_command_nm
1.4001,-0.1795,-0.0305,-0.4597,-0.3079,0.0000,-0.0226,3.7908,3.5637
1.4100,-0.1795,-0.0305,-0.4652,-0.2469,0.0000,-0.0226,3.7929,3.5629
1.4201,-0.1795,-0.0305,-0.4707,-0.0638,0.0000,-0.0226,3.7937,3.5640
1.4301,-0.1795,-0.0305,-0.4707,-0.0638,0.0000,-0.0226,3.7940,3.5646
1.4400,-0.1850,-0.0305,-0.4707,-0.0027,0.0000,-0.0226,3.7939,3.5652
1.4500,-0.1850,-0.0305,-0.4652,-0.0027,0.0000,-0.0226,3.7933,3.5646
1.4600,-0.1850,-0.0305,-0.4652,-0.1248,0.0000,-0.0226,3.7939,3.5640
1.4700,-0.1850,-0.0305,-0.4652,-0.3079,0.0000,-0.0226,3.7935,3.5630
1.4800,-0.1850,-0.0305,-0.4652,-0.1248,0.0000,-0.0226,3.7934,3.5646
1.4900,-0.1850,-0.0305,-0.4707,0.2414,0.0000,-0.0226,3.7921,3.5670
1.5000,-0.1850,-0.0305,-0.4707,0.2414,0.0000,-0.0226,3.7919,3.5684
1.5100,-0.1850,-0.0305,-0.4707,0.3024,0.0000,-0.0226,3.7912,3.5686
1.5200,-0.1850,-0.0305,-0.4707,0.0583,0.0000,-0.0226,3.7904,3.5673
1.5300,-0.1850,-0.0305,-0.4762,-0.1248,0.0000,-0.0226,3.7908,3.5658
1.5402,-0.1850,-0.0305,-0.4762,-0.0638,0.0000,-0.0226,3.7911,3.5663
1.5505,-0.1850,-0.0305,-0.4817,0.1193,0.0000,-0.0226,3.7907,3.5700
1.5600,-0.1905,-0.0305,-0.4817,0.1804,0.0000,-0.0226,3.7885,3.5712
1.5700,-0.1905,-0.0305,-0.4817,0.1804,0.0000,-0.0226,3.7890,3.5713
1.5803,-0.1905,-0.0305,-0.4817,0.4245,0.0000,-0.0226,3.7885,3.5713
1.5901,-0.1905,-0.0305,-0.4762,0.5466,0.0000,-0.0226,3.7890,3.5719
1.6001,-0.1905,-0.0305,-0.4707,0.5466,0.0000,-0.0226,3.7888,3.5730
1.6100,-0.1905,-0.0305,-0.4707,0.5466,0.0000,-0.0226,3.7868,3.5744
1.6201,-0.1905,-0.0305,-0.4707,0.0583,0.0000,-0.0226,3.7846,3.5732
1.6300,-0.1905,-0.0305,-0.4707,-0.2469,0.0000,-0.0226,3.7845,3.5707
1.6400,-0.1905,-0.0305,-0.4707,-0.2469,0.0000,-0.0226,3.7853,3.5707
1.6504,-0.1905,-0.0305,-0.4762,-0.3079,0.0000,-0.0226,3.7860,3.5712
1.6605,-0.1905,-0.0305,-0.4762,-0.2469,0.0000,-0.0226,3.7872,3.5702
1.6700,-0.1905,-0.0305,-0.4762,-0.0638,0.0000,-0.0226,3.7894,3.5698
1.6800,-0.1905,-0.0305,-0.4707,0.1193,0.0000,-0.0226,3.7905,3.5684
1.6901,-0.1905,-0.0305,-0.4707,0.1804,0.0000,-0.0226,3.7930,3.5664
1.7000,-0.1905,-0.0305,-0.4707,-0.1248,0.0000,-0.0226,3.7941,3.5644
1.7100,-0.1905,-0.0305,-0.4707,-0.1248,0.0000,-0.0226,3.7935,3.5638
1.7200,-0.1905,-0.0305,-0.4762,-0.1859,0.0000,-0.0226,3.7932,3.5638
1.7300,-0.1905,-0.0305,-0.4762,-0.1248,0.0000,-0.0226,3.7933,3.5656
1.7401,-0.1905,-0.0305,-0.4817,-0.1859,0.0000,-0.0226,3.7922,3.5660
1.7506,-0.1905,-0.0305,-0.4872,-0.1859,0.0000,-0.0226,3.7926,3.5664
1.7600,-0.1905,-0.0305,-0.4872,-0.0638,0.0000,-0.0226,3.7923,3.5655
1.7700,-0.1905,-0.0305,-0.4927,0.0583,0.0000,-0.0226,3.7946,3.5659
1.7800,-0.1905,-0.0305,-0.4927,0.0583,0.0000,-0.0226,3.7942,3.5662
1.7902,-0.1905,-0.0305,-0.4927,0.1804,0.0000,-0.0226,3.7940,3.5673
1.8000,-0.1905,-0.0305,-0.4927,0.2414,0.0000,-0.0226,3.7928,3.5683
1.8105,-0.1905,-0.0305,-0.4872,0.3024,0.0000,-0.0226,3.7921,3.5696
1.8200,-0.1905,-0.0305,-0.4927,0.1193,0.0000,-0.0226,3.7908,3.5695
1.8300,-0.1905,-0.0305,-0.4927,-0.1859,0.0000,-0.0226,3.7899,3.5689
1.8401,-0.1960,-0.0305,-0.4982,-0.4910,0.0000,-0.0226,3.7892,3.5666
1.8505,-0.1960,-0.0305,-0.5037,-0.4910,0.0000,-0.0226,3.7910,3.5660
1.8600,-0.1960,-0.0305,-0.5092,-0.3079,0.0000,-0.0226,3.7918,3.5670
1.8703,-0.1960,-0.0305,-0.5147,-0.1248,0.0000,-0.0226,3.7933,3.5678
1.8801,-0.1960,-0.0305,-0.5147,0.1804,0.0000,-0.0226,3.7942,3.5685
1.8900,-0.1960,-0.0305,-0.5092,0.4855,0.0000,-0.0226,3.7949,3.5690
1.9000,-0.1960,-0.0305,-0.5092,0.5466,0.0000,-0.0226,3.7951,3.5688
1.9100,-0.1960,-0.0305,-0.4982,0.0583,0.0000,-0.0226,3.7945,3.5672
1.9201,-0.1960,-0.0305,-0.4982,0.0583,0.0000,-0.0226,3.7929,3.5678
1.9300,-0.1960,-0.0305,-0.4982,0.0583,0.0000,-0.0226,3.7902,3.5697
1.9402,-0.1960,-0.0305,-0.5092,-0.4910,0.0000,-0.0226,3.7895,3.5692
1.9500,-0.1960,-0.0305,-0.5147,-0.6131,0.0000,-0.0226,3.7891,3.5676
1.9600,-0.1960,-0.0305,-0.5201,-0.4910,0.0000,-0.0226,3.7902,3.5680
1.9700,-0.1960,-0.0305,-0.5256,-0.1859,0.0000,-0.0226,3.7923,3.5672
1.9802,-0.1960,-0.0305,-0.5256,0.1193,0.0000,-0.0226,3.7961,3.5676
1.9900,-0.1960,-0.0305,-0.5256,0.3024,0.0000,-0.0226,3.7967,3.5690
2.0000,-0.1960,-0.0305,-0.5201,0.3024,0.0000,-0.0226,3.7953,3.5674
2.0100,-0.1960,-0.0305,-0.5201,0.1804,0.0000,-0.0226,3.7966,3.5661
2.0200,-0.1960,-0.0305,-0.5201,-0.0638,0.0000,-0.0226,3.7953,3.5660
2.0301,-0.1960,-0.0305,-0.5256,-0.3690,0.0000,-0.0226,3.7936,3.5664
2.0400,-0.1905,-0.0305,-0.5256,-0.4300,0.0000,-0.0226,3.7922,3.5675
2.0500,-0.1905,-0.0305,-0.5366,-0.3690,0.0000,-0.0226,3.7917,3.5687
2.0602,-0.1905,-0.0305,-0.5366,-0.3690,0.0000,-0.0226,3.7926,3.5685
2.0701,-0.1905,-0.0305,-0.5366,-0.1248,0.0000,-0.0226,3.7942,3.5684
2.0800,-0.1905,-0.0305,-0.5421,-0.0027,0.0000,-0.0226,3.7955,3.5673
2.0900,-0.1905,-0.0305,-0.5421,0.0583,0.0000,-0.0226,3.7968,3.5664
2.1001,-0.1905,-0.0305,-0.5421,0.2414,0.0000,-0.0226,3.7973,3.5666
2.1100,-0.1905,-0.0305,-0.5421,0.1804,0.0000,-0.0226,3.7964,3.5681
2.1200,-0.1905,-0.0305,-0.5421,-0.0638,0.0000,-0.0226,3.7945,3.5678
2.1306,-0.1905,-0.0305,-0.5421,-0.0638,0.0000,-0.0226,3.7937,3.5687
2.1400,-0.1905,-0.0305,-0.5476,-0.1248,0.0000,-0.0226,3.7921,3.5700
2.1500,-0.1905,-0.0305,-0.5476,-0.0027,0.0000,-0.0226,3.7917,3.5711
2.1600,-0.1905,-0.0305,-0.5476,0.1804,0.0000,-0.0226,3.7915,3.5728
2.1706,-0.1905,-0.0305,-0.5421,0.2414,0.0000,-0.0226,3.7909,3.5738
2.1800,-0.1905,-0.0305,-0.5421,0.1193,0.0000,-0.0226,3.7906,3.5720
2.1900,-0.1905,-0.0305,-0.5421,-0.2469,0.0000,-0.0226,3.7918,3.5694
2.2000,-0.1905,-0.0305,-0.5421,-0.2469,0.0000,-0.0226,3.7918,3.5685
2.2101,-0.1905,-0.0305,-0.5421,-0.2469,0.0000,-0.0226,3.7923,3.5688
2.2203,-0.1905,-0.0305,-0.5476,-0.2469,0.0000,-0.0226,3.7928,3.5697
2.2300,-0.1905,-0.0305,-0.5531,-0.2469,0.0000,-0.0226,3.7924,3.5691
2.2403,-0.1905,-0.0305,-0.5531,-0.0638,0.0000,-0.0226,3.7937,3.5693
2.2501,-0.1905,-0.0305,-0.5586,-0.0027,0.0000,-0.0226,3.7944,3.5677
2.2606,-0.1905,-0.0305,-0.5586,0.2414,0.0000,-0.0226,3.7966,3.5688
2.2700,-0.1905,-0.0305,-0.5586,0.2414,0.0000,-0.0226,3.7952,3.5698
2.2800,-0.1905,-0.0305,-0.5586,0.0583,0.0000,-0.0226,3.7946,3.5699
2.2900,-0.1905,-0.0305,-0.5586,-0.2469,0.0000,-0.0226,3.7933,3.5683
2.3001,-0.1905,-0.0305,-0.5641,-0.3690,0.0000,-0.0226,3.7935,3.5683
2.3103,-0.1905,-0.0305,-0.5641,-0.1859,0.0000,-0.0226,3.7927,3.5697
2.3201,-0.1905,-0.0305,-0.5641,0.1193,0.0000,-0.0226,3.7932,3.5727
2.3300,-0.1905,-0.0305,-0.5641,0.4245,0.0000,-0.0226,3.7921,3.5749
2.3400,-0.1905,-0.0305,-0.5641,0.4245,0.0000,-0.0226,3.7916,3.5745
2.3500,-0.1905,-0.0305,-0.5641,0.1804,0.0000,-0.0226,3.7917,3.5718
2.3600,-0.1960,-0.0305,-0.5641,-0.0638,0.0000,-0.0226,3.7922,3.5696
2.3700,-0.1960,-0.0305,-0.5641,-0.0638,0.0000,-0.0226,3.7923,3.5704
2.3800,-0.1960,-0.0305,-0.5696,-0.1859,0.0000,-0.0226,3.7911,3.5720
2.3901,-0.1960,-0.0305,-0.5751,-0.1859,0.0000,-0.0226,3.7905,3.5732
2.4000,-0.1960,-0.0305,-0.5806,-0.0638,0.0000,-0.0226,3.7900,3.5736
2.4101,-0.1960,-0.0305,-0.5806,-0.0638,0.0000,-0.0226,3.7915,3.5725
2.4200,-0.1960,-0.0305,-0.5806,0.2414,0.0000,-0.0226,3.7933,3.5721
2.4300,-0.1960,-0.0305,-0.5751,0.3635,0.0000,-0.0226,3.7943,3.5733
2.4400,-0.1960,-0.0305,-0.5751,0.3024,0.0000,-0.0226,3.7935,3.5735
2.4500,-0.1960,-0.0305,-0.5751,-0.0027,0.0000,-0.0226,3.7925,3.5716
2.4600,-0.1960,-0.0305,-0.5751,-0.0027,0.0000,-0.0226,3.7922,3.5722
2.4701,-0.1960,-0.0305,-0.5806,-0.0027,0.0000,-0.0226,3.7907,3.5725
2.4800,-0.1960,-0.0305,-0.5806,-0.0027,0.0000,-0.0226,3.7914,3.5743
2.4901,-0.1960,-0.0305,-0.5806,-0.0027,0.0000,-0.0226,3.7900,3.5748
2.5000,-0.1960,-0.0305,-0.5806,-0.0027,0.0000,-0.0226,3.7905,3.5745
2.5100,-0.1960,-0.0305,-0.5806,-0.0027,0.0000,-0.0226,3.7910,3.5728
2.5200,-0.1960,-0.0305,-0.5861,-0.0027,0.0000,-0.0226,3.7930,3.5719
2.5300,-0.1960,-0.0305,-0.5861,-0.0027,0.0000,-0.0226,3.7931,3.5719
2.5400,-0.1960,-0.0305,-0.5861,-0.0027,0.0000,-0.0226,3.7931,3.5720
2.5500,-0.1960,-0.0305,-0.5861,-0.0027,0.0000,-0.0226,3.7932,3.5721
2.5600,-0.1960,-0.0305,-0.5916,-0.0027,0.0000,-0.0226,3.7931,3.5721
2.5700,-0.1960,-0.0305,-0.5916,-0.0027,0.0000,-0.0226,3.7932,3.5721
2.5800,-0.1960,-0.0305,-0.5916,-0.0027,0.0000,-0.0226,3.7933,3.5723
2.5900,-0.1960,-0.0305,-0.5916,-0.0027,0.0000,-0.0226,3.7933,3.5723
