X[s],"Avanti sensor 2: ACC.X 2",X[s],"Avanti sensor 2: ACC.Y 2",X[s],"Avanti sensor 2: ACC.Z 2",X[s],"Avanti sensor 2: GYRO.X 2",X[s],"Avanti sensor 2: GYRO.Y 2",X[s],"Avanti sensor 2: GYRO.Z 2",X[s],"L RECTUS FEMORIS: EMG 4",X[s],"L BICEPS FEMORIS: EMG 5",X[s],"Avanti sensor 7: ACC.X 7",X[s],"Avanti sensor 7: ACC.Y 7",X[s],"Avanti sensor 7: ACC.Z 7",X[s],"Avanti sensor 7: GYRO.X 7",X[s],"Avanti sensor 7: GYRO.Y 7",X[s],"Avanti sensor 7: GYRO.Z 7",X[s],"R RECTUS FEMORIS: EMG 10",X[s],"R BICEPS FEMORIS: EMG 15"
0.1782,-0.1191406,0.1782,-0.9863281,0.1782,-0.1689453,0.1782,-3.170732,0.1782,2.926829,0.1782,1.52439,0.03072414,0,0.03072414,0,0.1782,0.2695313,0.1782,-0.9619141,0.1782,-0.1796875,0.1782,-0.6097561,0.1782,3.719512,0.1782,1.097561,0.03072414,0,0.03072414,0
0.1809,-0.1196289,0.1809,-0.987793,0.1809,-0.1689453,0.1809,-2.621951,0.1809,2.743902,0.1809,1.829268,0.03118965,0,0.03118965,0,0.1809,0.2695313,0.1809,-0.9638672,0.1809,-0.1816406,0.1809,-0.6707317,0.1809,3.719512,0.1809,1.280488,0.03118965,0,0.03118965,0
0.1836,-0.121582,0.1836,-0.987793,0.1836,-0.1723633,0.1836,-2.804878,0.1836,2.621951,0.1836,1.829268,0.03165517,0,0.03165517,0,0.1836,0.2729492,0.1836,-0.9628906,0.1836,-0.1850586,0.1836,-0.7317073,0.1836,3.719512,0.1836,1.036585,0.03165517,0,0.03165517,0
0.1863,-0.125,0.1863,-0.984375,0.1863,-0.1728516,0.1863,-2.987805,0.1863,2.682927,0.1863,2.012195,0.03212069,0,0.03212069,0,0.1863,0.2705078,0.1863,-0.965332,0.1863,-0.1850586,0.1863,-0.6707317,0.1863,3.658537,0.1863,1.036585,0.03212069,0,0.03212069,0
0.189,-0.1210938,0.189,-0.9848633,0.189,-0.1713867,0.189,-2.987805,0.189,2.865854,0.189,1.707317,0.03258621,0,0.03258621,0,0.189,0.2675781,0.189,-0.9614258,0.189,-0.1860352,0.189,-0.1219512,0.189,4.02439,0.189,1.341463,0.03258621,0,0.03258621,0
0.1917,-0.1206055,0.1917,-0.9848633,0.1917,-0.1699219,0.1917,-3.231707,0.1917,2.621951,0.1917,1.463415,0.03305172,0,0.03305172,0,0.1917,0.2641602,0.1917,-0.9589844,0.1917,-0.1821289,0.1917,-0.1829268,0.1917,3.780488,0.1917,1.036585,0.03305172,0,0.03305172,0
0.1944,-0.1196289,0.1944,-0.9868164,0.1944,-0.1738281,0.1944,-3.04878,0.1944,2.926829,0.1944,1.52439,0.03351724,0,0.03351724,0,0.1944,0.2783203,0.1944,-0.9707031,0.1944,-0.1879883,0.1944,-0.6707317,0.1944,3.47561,0.1944,1.036585,0.03351724,0,0.03351724,0
0.1971,-0.1196289,0.1971,-0.9848633,0.1971,-0.1723633,0.1971,-3.04878,0.1971,3.04878,0.1971,1.646341,0.03398276,0,0.03398276,0,0.1971,0.2768555,0.1971,-0.96875,0.1971,-0.1914063,0.1971,-0.5487805,0.1971,3.597561,0.1971,0.9756098,0.03398276,0,0.03398276,0
0.1998,-0.1191406,0.1998,-0.9863281,0.1998,-0.1704102,0.1998,-2.987805,0.1998,2.865854,0.1998,1.95122,0.03444827,0,0.03444827,0,0.1998,0.2709961,0.1998,-0.9619141,0.1998,-0.1870117,0.1998,-0.7317073,0.1998,3.414634,0.1998,0.7926829,0.03444827,0,0.03444827,0
0.2025,-0.1123047,0.2025,-0.987793,0.2025,-0.1689453,0.2025,-3.170732,0.2025,3.04878,0.2025,1.646341,0.03491379,0,0.03491379,0,0.2025,0.2729492,0.2025,-0.9628906,0.2025,-0.1855469,0.2025,-0.8536586,0.2025,3.47561,0.2025,0.9146342,0.03491379,0,0.03491379,0
0.2052,-0.1162109,0.2052,-0.9897461,0.2052,-0.171875,0.2052,-3.170732,0.2052,3.04878,0.2052,1.463415,0.03537931,0,0.03537931,0,0.2052,0.2695313,0.2052,-0.9570313,0.2052,-0.1884766,0.2052,-0.4268293,0.2052,3.902439,0.2052,1.097561,0.03537931,0,0.03537931,0
0.2079,-0.1191406,0.2079,-0.9868164,0.2079,-0.1728516,0.2079,-3.231707,0.2079,3.414634,0.2079,1.707317,0.03584483,0,0.03584483,0,0.2079,0.2685547,0.2079,-0.9570313,0.2079,-0.1875,0.2079,-0.3048781,0.2079,3.658537,0.2079,1.036585,0.03584483,0,0.03584483,0
0.2106,-0.1147461,0.2106,-0.9868164,0.2106,-0.1694336,0.2106,-3.353659,0.2106,3.353659,0.2106,1.463415,0.03631034,0,0.03631034,0,0.2106,0.2758789,0.2106,-0.9584961,0.2106,-0.1875,0.2106,-0.3658537,0.2106,3.170732,0.2106,0.9146342,0.03631034,0,0.03631034,0
0.2133,-0.1162109,0.2133,-0.9853516,0.2133,-0.1708984,0.2133,-3.292683,0.2133,3.170732,0.2133,1.646341,0.03677586,0,0.03677586,0,0.2133,0.2763672,0.2133,-0.9575195,0.2133,-0.1875,0.2133,-0.6097561,0.2133,3.170732,0.2133,1.097561,0.03677586,0,0.03677586,0
0.216,-0.1186523,0.216,-0.9892578,0.216,-0.1704102,0.216,-3.04878,0.216,3.170732,0.216,1.768293,0.03724138,0,0.03724138,0,0.216,0.2749023,0.216,-0.9614258,0.216,-0.1879883,0.216,-0.6707317,0.216,3.414634,0.216,1.097561,0.03724138,0,0.03724138,0
0.2187,-0.1171875,0.2187,-0.9912109,0.2187,-0.1762695,0.2187,-3.231707,0.2187,3.04878,0.2187,1.707317,0.0377069,0,0.0377069,0,0.2187,0.2753906,0.2187,-0.9628906,0.2187,-0.1914063,0.2187,-0.4878049,0.2187,3.170732,0.2187,1.219512,0.0377069,0,0.0377069,0
0.2214,-0.1186523,0.2214,-0.9868164,0.2214,-0.1674805,0.2214,-3.109756,0.2214,3.109756,0.2214,1.402439,0.03817241,0,0.03817241,0,0.2214,0.2675781,0.2214,-0.9545898,0.2214,-0.1879883,0.2214,-0.6097561,0.2214,3.109756,0.2214,1.280488,0.03817241,0,0.03817241,0
0.2241,-0.1181641,0.2241,-0.9892578,0.2241,-0.1689453,0.2241,-3.04878,0.2241,2.987805,0.2241,1.52439,0.03863793,0,0.03863793,0,0.2241,0.2753906,0.2241,-0.9594727,0.2241,-0.1855469,0.2241,-0.7317073,0.2241,3.04878,0.2241,0.9756098,0.03863793,0,0.03863793,0
